fips,NAME,year,total_25plus,bach_or_higher,pct_bach_degree
17105,"Livingston County, Illinois",2020,25269,4192,16.589497012149273
17107,"Logan County, Illinois",2020,20138,3934,19.53520707120866
17109,"McDonough County, Illinois",2020,18156,5879,32.38048028200044
17111,"McHenry County, Illinois",2020,209283,73725,35.227419331718295
17113,"McLean County, Illinois",2020,105002,46806,44.57629378488029
17115,"Macon County, Illinois",2020,72285,17044,23.578889119457703
17117,"Macoupin County, Illinois",2020,32156,5941,18.47555666127628
17119,"Madison County, Illinois",2020,185257,51420,27.756036209158086
17121,"Marion County, Illinois",2020,26188,4246,16.213532915839316
17123,"Marshall County, Illinois",2020,8379,1524,18.188327962764053
17125,"Mason County, Illinois",2020,9785,1616,16.515074092999487
17127,"Massac County, Illinois",2020,10064,1384,13.751987281399048
17129,"Menard County, Illinois",2020,8667,2016,23.260643821391486
17131,"Mercer County, Illinois",2020,11108,1995,17.96002880806626
17133,"Monroe County, Illinois",2020,24447,8938,36.560723197120296
17135,"Montgomery County, Illinois",2020,20836,3773,18.10808216548282
17137,"Morgan County, Illinois",2020,23741,4737,19.952824228128556
17139,"Moultrie County, Illinois",2020,9817,2014,20.515432413160845
17141,"Ogle County, Illinois",2020,35492,7724,21.762650738194523
17143,"Peoria County, Illinois",2020,121992,37935,31.096301396812905
