Year,Share.with.medical.debt.in.collections,Share.with.medical.debt.in.collections...Majority.White,Hospital.market.concentration..HHI.,Number.of.Closures.and.Mergers,Share.of.the.population.with.no.health.insurance.coverage,Share.of.non.elderly.adults.with.a.reported.disability,Average.household.income.in..2023,FIPS
2021,0.378,0.378,3896,0,0.105,0.213,61354,05111
2022,0.36,0.36,3984,0,0.093,0.235,62988,05111
2023,0.172,0.172,NA,NA,NA,NA,NA,05111
2011,0.231,0.231,2650,0,NA,NA,60582,05113
2012,0.245,0.245,2735,0,0.207,0.251,62095,05113
2013,0.248,0.248,3429,0,0.212,0.255,60525,05113
2014,0.207,0.207,3541,0,0.196,0.246,60507,05113
2015,0.201,0.201,3310,0,0.173,0.251,60046,05113
2016,0.188,0.188,3488,0,0.15,0.241,56207,05113
2017,0.199,0.199,3492,0,0.141,0.218,56764,05113
2018,0.184,0.184,3771,0,0.116,0.216,58847,05113
2019,0.205,0.205,3968,0,0.105,0.236,65902,05113
2020,0.212,0.212,3552,0,0.096,0.214,68468,05113
2021,0.166,0.166,3892,0,0.102,0.205,71771,05113
2022,0.139,0.139,3913,0,0.095,0.216,75307,05113
2023,0.056,0.056,NA,NA,NA,NA,NA,05113
2011,0.265,0.265,788,0,NA,NA,70783,05115
2012,0.265,0.265,824,0,0.171,0.156,68780,05115
2013,0.261,0.261,903,0,0.165,0.159,68790,05115
2014,0.273,0.273,1066,0,0.146,0.154,68877,05115
2015,0.277,0.277,1074,0,0.14,0.151,67812,05115
2016,0.267,0.267,1084,0,0.117,0.148,69688,05115
2017,0.287,0.287,1064,0,0.106,0.155,70070,05115
2018,0.275,0.275,1172,0,0.091,0.163,70275,05115
2019,0.254,0.254,1214,0,0.086,0.165,73022,05115
2020,0.249,0.249,1186,0,0.073,0.167,81313,05115
2021,0.224,0.224,1221,0,0.086,0.174,76591,05115
2022,0.164,0.164,1189,0,0.085,0.173,76127,05115
2023,0.055,0.055,NA,NA,NA,NA,NA,05115
2011,0.157,0.157,786,0,NA,NA,58717,05117
2012,0.202,0.202,822,0,0.16,0.184,56680,05117
2013,0.254,0.254,901,0,0.168,0.195,54405,05117
2014,0.235,0.235,1064,0,0.154,0.188,55168,05117
2015,0.2,0.2,1071,0,0.132,0.183,55344,05117
2016,0.18,0.18,1081,0,0.121,0.161,58349,05117
2017,0.215,0.215,1062,0,0.104,0.155,61052,05117
2018,0.184,0.184,1170,0,0.082,0.137,63895,05117
2019,0.213,0.213,1213,0,0.078,0.143,68271,05117
2020,0.213,0.213,1184,0,0.066,0.144,68684,05117
2021,0.165,0.165,1219,0,0.069,0.166,71261,05117
2022,0.154,0.154,1187,0,0.072,0.167,69358,05117
2023,0.042,0.042,NA,NA,NA,NA,NA,05117
2011,0.151,0.118,786,0,NA,NA,88881,05119
2012,0.139,0.106,822,0,0.151,0.113,87290,05119
2013,0.134,0.109,901,0,0.152,0.111,85972,05119
2014,0.139,0.116,1064,0,0.148,0.114,85086,05119
2015,0.14,0.118,1071,0,0.134,0.12,85606,05119
2016,0.138,0.116,1081,0,0.116,0.123,86813,05119
2017,0.139,0.114,1062,0,0.101,0.133,89380,05119
2018,0.141,0.117,1170,0,0.086,0.138,90958,05119
2019,0.137,0.116,1213,0,0.079,0.142,93256,05119
2020,0.123,0.108,1184,1,0.079,0.14,93489,05119
2021,0.127,0.111,1219,1,0.085,0.139,93971,05119
2022,0.108,0.098,1187,0,0.088,0.141,94009,05119
2023,0.041,0.034,NA,NA,NA,NA,NA,05119
2011,0.243,0.243,2597,0,NA,NA,62651,05121
2012,0.215,0.215,2819,0,0.201,0.181,59718,05121
2013,0.27,0.27,2917,0,0.201,0.174,60266,05121
2014,0.229,0.229,2789,0,0.176,0.181,60675,05121
2015,0.235,0.235,2733,0,0.15,0.199,57694,05121
2016,0.218,0.218,2763,0,0.138,0.192,61224,05121
2017,0.221,0.221,2741,0,0.1,0.209,61931,05121
2018,0.191,0.191,3439,0,0.085,0.2,61071,05121
2019,0.23,0.23,3462,0,0.073,0.201,64738,05121
2020,0.249,0.249,3804,0,0.075,0.21,64398,05121
2021,0.244,0.244,3940,0,0.065,0.204,66290,05121
2022,0.218,0.218,4030,0,0.075,0.195,63515,05121
2023,0.1,0.1,NA,NA,NA,NA,NA,05121
2011,0.303,0.32,1621,0,NA,NA,51530,05123
2012,0.306,0.303,1721,0,0.182,0.223,54879,05123
2013,0.326,0.337,1931,0,0.185,0.215,54754,05123
2014,0.284,0.275,2079,0,0.176,0.198,54187,05123
2015,0.268,0.245,2019,0,0.16,0.2,53707,05123
2016,0.27,0.247,2076,0,0.147,0.196,55357,05123
2017,0.26,0.236,2017,0,0.122,0.189,54299,05123
2018,0.232,0.209,2119,0,0.103,0.179,55178,05123
2019,0.263,0.217,2131,0,0.086,0.179,57736,05123
2020,0.277,0.193,2191,0,0.099,0.186,59284,05123
2021,0.285,0.19,2134,0,0.093,0.197,57343,05123
2022,0.248,0.161,2168,0,0.087,0.203,57090,05123
2023,0.1,0.042,NA,NA,NA,NA,NA,05123
2011,0.152,0.151,786,0,NA,NA,87359,05125
2012,0.137,0.136,822,0,0.125,0.158,86848,05125
2013,0.155,0.155,901,0,0.124,0.164,86542,05125
2014,0.168,0.168,1064,0,0.12,0.165,86283,05125
2015,0.192,0.193,1071,0,0.107,0.155,86179,05125
2016,0.175,0.176,1081,0,0.087,0.139,88652,05125
2017,0.161,0.16,1062,0,0.076,0.141,90807,05125
2018,0.165,0.165,1170,0,0.061,0.139,91906,05125
2019,0.168,0.167,1213,0,0.06,0.135,93319,05125
2020,0.145,0.146,1184,0,0.058,0.135,94924,05125
2021,0.102,0.102,1219,0,0.06,0.128,94245,05125
2022,0.097,0.097,1187,0,0.058,0.129,93186,05125
2023,0.036,0.035,NA,NA,NA,NA,NA,05125
2011,0.34,0.342,2676,0,NA,NA,63220,05127
2012,0.289,0.289,2682,0,0.184,0.185,64312,05127
2013,0.388,0.388,3418,0,0.181,0.189,62851,05127
2014,0.4,0.4,3535,0,0.169,0.18,60854,05127
2015,0.453,0.453,3297,0,0.139,0.154,58231,05127
2016,0.308,0.308,3488,0,0.104,0.156,57353,05127
2017,0.319,0.319,3510,0,0.085,0.209,55862,05127
2018,0.301,0.301,3773,0,0.088,0.235,53756,05127
2019,0.36,0.36,3979,0,0.1,0.258,54904,05127
2020,0.368,0.368,3513,0,0.067,0.24,60338,05127
2021,0.299,0.299,3862,0,0.09,0.221,60824,05127
2022,0.255,0.255,3877,0,0.105,0.177,59051,05127
2023,0.125,0.125,NA,NA,NA,NA,NA,05127
2011,0.323,0.323,2239,0,NA,NA,47198,05129
2012,0.294,0.294,2207,0,0.217,0.243,47484,05129
2013,0.326,0.326,2334,0,0.234,0.222,50858,05129
2014,0.286,0.286,2385,0,0.207,0.189,52870,05129
2015,0.28,0.28,2379,0,0.163,0.211,56151,05129
2016,0.278,0.278,2406,0,0.133,0.198,60574,05129
2017,0.236,0.236,2331,0,0.116,0.199,59524,05129
2018,0.267,0.267,2326,0,0.073,0.226,58270,05129
2019,0.333,0.333,2297,0,0.065,0.209,57265,05129
2020,0.262,0.262,2370,0,0.054,0.196,54075,05129
2021,0.183,0.183,2418,0,0.057,0.223,55872,05129
2022,0.149,0.149,2353,0,0.057,0.233,57864,05129
2023,0.035,0.035,NA,NA,NA,NA,NA,05129
2011,0.303,0.288,2676,0,NA,NA,79406,05131
2012,0.307,0.29,2682,0,0.193,0.158,75816,05131
2013,0.285,0.264,3419,0,0.195,0.165,76144,05131
2014,0.293,0.272,3536,0,0.178,0.167,75941,05131
2015,0.28,0.267,3297,0,0.158,0.172,74022,05131
2016,0.245,0.234,3488,0,0.137,0.179,73318,05131
2017,0.249,0.233,3510,0,0.125,0.187,73331,05131
2018,0.252,0.241,3773,0,0.107,0.186,74779,05131
2019,0.227,0.212,3980,0,0.104,0.192,75688,05131
2020,0.192,0.183,3514,0,0.108,0.193,83309,05131
2021,0.176,0.164,3862,0,0.115,0.194,83207,05131
2022,0.14,0.133,3878,0,0.112,0.199,84909,05131
2023,0.055,0.051,NA,NA,NA,NA,NA,05131
2011,0.23,0.271,2444,0,NA,NA,58451,05133
2012,0.238,0.322,3191,0,0.239,0.152,57446,05133
2013,0.287,0.366,3527,0,0.267,0.135,58397,05133
2014,0.291,0.337,3604,0,0.226,0.126,58018,05133
2015,0.305,0.366,3437,0,0.202,0.116,59648,05133
2016,0.286,0.329,3501,0,0.186,0.108,60751,05133
2017,0.333,0.393,3355,0,0.169,0.109,63003,05133
2018,0.301,0.322,3768,0,0.147,0.118,69961,05133
2019,0.262,0.322,3890,0,0.168,0.138,75279,05133
2020,0.281,0.326,3893,0,0.161,0.146,76445,05133
2021,0.259,0.238,4162,0,0.196,0.143,74383,05133
2022,0.239,0.258,4229,0,0.184,0.127,73829,05133
2023,0.121,0.099,NA,NA,NA,NA,NA,05133
2011,0.269,0.269,914,0,NA,NA,50464,05135
2012,0.27,0.27,969,0,0.163,0.189,49168,05135
2013,0.296,0.296,1051,0,0.186,0.188,52023,05135
2014,0.311,0.311,1199,0,0.178,0.183,51505,05135
2015,0.34,0.34,1208,0,0.158,0.2,50772,05135
2016,0.305,0.305,1217,0,0.146,0.201,57245,05135
2017,0.326,0.326,1198,0,0.105,0.23,59532,05135
2018,0.336,0.336,1327,0,0.071,0.245,57720,05135
2019,0.282,0.282,1368,0,0.063,0.247,57520,05135
2020,0.302,0.302,1351,0,0.058,0.236,58480,05135
2021,0.279,0.279,1391,0,0.058,0.258,55600,05135
2022,0.258,0.258,1359,0,0.058,0.204,64007,05135
2023,0.077,0.077,NA,NA,NA,NA,NA,05135
2011,0.29,0.29,794,0,NA,NA,52916,05137
2012,0.268,0.268,832,0,0.167,0.227,55269,05137
2013,0.248,0.248,912,0,0.172,0.234,52565,05137
2014,0.248,0.248,1075,0,0.143,0.205,58407,05137
2015,0.291,0.291,1083,0,0.142,0.231,56266,05137
2016,0.265,0.265,1093,0,0.117,0.222,59446,05137
2017,0.287,0.287,1073,0,0.1,0.212,59703,05137
2018,0.235,0.235,1181,0,0.075,0.19,59763,05137
2019,0.218,0.218,1223,0,0.076,0.194,59364,05137
2020,0.215,0.215,1194,0,0.073,0.189,59011,05137
2021,0.187,0.187,1229,0,0.08,0.205,52369,05137
2022,0.183,0.183,1196,0,0.086,0.226,52461,05137
2023,0.053,0.053,NA,NA,NA,NA,NA,05137
2011,0.255,0.258,786,0,NA,NA,69617,05139
2012,0.227,0.229,822,0,0.151,0.208,68988,05139
2013,0.235,0.235,901,0,0.156,0.208,66417,05139
2014,0.266,0.265,1064,0,0.158,0.191,69436,05139
2015,0.244,0.236,1071,0,0.144,0.186,68688,05139
2016,0.228,0.219,1081,0,0.131,0.173,68159,05139
2017,0.294,0.29,1062,0,0.121,0.169,70291,05139
2018,0.288,0.279,1170,0,0.106,0.16,71851,05139
2019,0.239,0.232,1213,0,0.075,0.169,73090,05139
2020,0.204,0.202,1184,0,0.069,0.156,76290,05139
2021,0.224,0.224,1219,0,0.074,0.175,75251,05139
2022,0.196,0.197,1187,0,0.062,0.151,74706,05139
2023,0.089,0.09,NA,NA,NA,NA,NA,05139
2011,0.211,0.211,790,0,NA,NA,58218,05141
2012,0.15,0.15,826,0,0.209,0.186,59077,05141
2013,0.146,0.146,905,0,0.205,0.202,57226,05141
2014,0.176,0.176,1068,0,0.203,0.218,54885,05141
2015,0.163,0.163,1075,0,0.181,0.206,56544,05141
2016,0.149,0.149,1085,0,0.154,0.214,59203,05141
2017,0.139,0.139,1066,0,0.129,0.229,58743,05141
2018,0.128,0.128,1174,0,0.105,0.228,60718,05141
2019,0.141,0.141,1216,0,0.096,0.239,61854,05141
2020,0.153,0.153,1187,0,0.094,0.24,61667,05141
2021,0.154,0.154,1222,0,0.101,0.237,59474,05141
2022,0.123,0.123,1190,0,0.094,0.223,62140,05141
2023,0.041,0.041,NA,NA,NA,NA,NA,05141
2011,0.22,0.204,2700,0,NA,NA,80155,05143
2012,0.224,0.207,2570,0,0.188,0.106,79050,05143
2013,0.217,0.198,2714,0,0.184,0.102,78598,05143
2014,0.218,0.201,2725,0,0.176,0.092,80561,05143
2015,0.214,0.195,2691,0,0.154,0.087,82661,05143
2016,0.207,0.184,2734,0,0.135,0.086,83472,05143
2017,0.216,0.185,2626,0,0.126,0.086,85417,05143
2018,0.216,0.188,2583,0,0.115,0.086,87809,05143
2019,0.206,0.186,2524,0,0.116,0.091,86202,05143
2020,0.2,0.177,2663,0,0.117,0.098,90195,05143
2021,0.199,0.18,2712,0,0.118,0.1,92020,05143
2022,0.166,0.149,2654,0,0.122,0.101,93104,05143
2023,0.068,0.058,NA,NA,NA,NA,NA,05143
2011,0.149,0.151,786,0,NA,NA,73821,05145
2012,0.194,0.196,822,0,0.171,0.143,73004,05145
2013,0.219,0.22,901,0,0.167,0.137,73603,05145
2014,0.257,0.258,1064,0,0.156,0.145,74058,05145
2015,0.235,0.236,1071,0,0.144,0.146,75244,05145
2016,0.22,0.22,1081,0,0.123,0.146,74186,05145
2017,0.229,0.229,1062,0,0.102,0.146,75467,05145
2018,0.149,0.15,1170,0,0.09,0.139,75264,05145
2019,0.143,0.144,1213,0,0.083,0.144,73171,05145
2020,0.127,0.127,1184,0,0.092,0.161,72809,05145
2021,0.119,0.119,1219,0,0.093,0.168,74688,05145
2022,0.107,0.107,1187,0,0.096,0.17,73648,05145
2023,0.033,0.033,NA,NA,NA,NA,NA,05145
2011,0.261,0.265,788,0,NA,NA,57771,05147
2012,0.264,0.26,824,0,0.225,0.18,56710,05147
2013,0.3,0.293,904,0,0.214,0.187,57153,05147
2014,0.324,0.291,1066,0,0.21,0.222,49097,05147
2015,0.297,0.271,1074,0,0.18,0.239,52889,05147
2016,0.258,0.252,1084,0,0.163,0.224,51424,05147
2017,0.216,0.193,1064,0,0.111,0.239,54996,05147
2018,0.214,0.204,1173,0,0.061,0.215,58141,05147
2019,0.222,0.202,1215,0,0.06,0.204,61165,05147
2020,0.256,0.24,1187,0,0.053,0.176,66176,05147
2021,0.212,0.202,1222,0,0.066,0.161,70218,05147
2022,0.171,0.16,1190,0,0.069,0.149,68985,05147
2023,0.058,0.054,NA,NA,NA,NA,NA,05147
2011,0.213,0.213,807,0,NA,NA,62772,05149
2012,0.206,0.206,843,0,0.204,0.204,61721,05149
2013,0.214,0.214,930,0,0.192,0.2,58250,05149
2014,0.237,0.237,1092,0,0.171,0.18,61529,05149
2015,0.248,0.248,1097,0,0.149,0.205,62470,05149
2016,0.235,0.236,1109,0,0.126,0.179,65626,05149
2017,0.222,0.223,1090,0,0.106,0.183,67186,05149
2018,0.24,0.241,1200,0,0.085,0.198,71090,05149
2019,0.229,0.229,1244,0,0.079,0.198,70545,05149
2020,0.22,0.221,1210,0,0.072,0.16,71637,05149
2021,0.196,0.197,1249,0,0.08,0.161,72075,05149
2022,0.16,0.16,1217,0,0.082,0.154,69049,05149
2023,0.046,0.046,NA,NA,NA,NA,NA,05149
2011,0.119,0.075,2411,0,NA,NA,127379,06001
2012,0.121,0.075,2224,0,0.124,0.07,126978,06001
2013,0.106,0.072,2260,0,0.126,0.07,126850,06001
2014,0.106,0.069,2104,0,0.118,0.071,127880,06001
2015,0.105,0.064,2125,0,0.101,0.073,131067,06001
2016,0.069,0.04,2248,0,0.084,0.072,136088,06001
2017,0.069,0.042,2608,0,0.069,0.073,142121,06001
2018,0.07,0.039,2467,0,0.051,0.07,148737,06001
2019,0.065,0.035,2440,1,0.044,0.066,155784,06001
2020,0.077,0.045,2325,0,0.043,0.066,163044,06001
2021,0.061,0.037,2542,0,0.043,0.065,167142,06001
2022,0.049,0.031,2397,0,0.04,0.069,171446,06001
2023,0.023,0.012,NA,NA,NA,NA,NA,06001
2011,NA,NA,1967,0,NA,NA,110528,06003
2012,NA,NA,2029,0,0.243,0.151,101943,06003
2013,NA,NA,2008,0,0.235,0.161,90378,06003
2014,NA,NA,2056,0,0.222,0.193,91364,06003
2015,NA,NA,2112,0,0.194,0.204,80938,06003
2016,NA,NA,2019,0,0.148,0.22,105274,06003
2017,NA,NA,2003,0,0.121,0.217,113113,06003
2018,NA,NA,2329,0,0.103,0.204,112532,06003
2019,NA,NA,2378,0,0.089,0.154,116471,06003
2020,NA,NA,2375,0,0.076,0.165,126840,06003
2021,NA,NA,2456,0,0.066,0.126,129206,06003
2022,NA,NA,2352,0,0.064,0.119,171671,06003
2023,NA,NA,NA,NA,NA,NA,NA,06003
2011,0.158,0.158,2128,0,NA,NA,99434,06005
2012,0.153,0.153,2016,0,0.121,0.139,93088,06005
2013,0.121,0.121,2043,0,0.116,0.146,91415,06005
2014,0.108,0.108,1973,0,0.107,0.143,90720,06005
2015,0.101,0.101,2064,0,0.082,0.135,91271,06005
2016,0.108,0.108,1999,0,0.07,0.15,88945,06005
2017,0.144,0.144,1992,0,0.056,0.123,94072,06005
2018,0.129,0.129,2094,0,0.042,0.136,94664,06005
2019,0.09,0.09,2088,0,0.047,0.15,97324,06005
2020,0.095,0.095,2092,0,0.051,0.14,100288,06005
2021,0.101,0.101,2105,0,0.047,0.12,102631,06005
2022,0.078,0.078,2037,0,0.048,0.145,103228,06005
2023,0.031,0.031,NA,NA,NA,NA,NA,06005
2011,0.123,0.123,2674,0,NA,NA,78445,06007
2012,0.123,0.123,2674,0,0.162,0.147,77378,06007
2013,0.142,0.142,2711,0,0.157,0.153,77276,06007
2014,0.141,0.141,2696,0,0.149,0.149,78024,06007
2015,0.132,0.132,2729,0,0.133,0.145,78163,06007
2016,0.125,0.125,2770,0,0.107,0.148,80143,06007
2017,0.144,0.144,2765,0,0.084,0.148,82355,06007
2018,0.15,0.15,3629,0,0.074,0.146,84481,06007
2019,0.123,0.123,3566,0,0.062,0.147,90276,06007
2020,0.117,0.117,3597,1,0.06,0.153,93282,06007
2021,0.092,0.092,3566,0,0.064,0.146,95318,06007
2022,0.086,0.086,3543,0,0.066,0.148,96286,06007
2023,0.034,0.034,NA,NA,NA,NA,NA,06007
2011,0.167,0.167,2088,0,NA,NA,93388,06009
2012,0.17,0.17,2147,0,0.112,0.157,92631,06009
2013,0.179,0.179,2155,0,0.115,0.156,91768,06009
2014,0.173,0.173,2149,0,0.11,0.165,90403,06009
2015,0.164,0.164,2141,0,0.101,0.165,92821,06009
2016,0.181,0.181,2148,0,0.083,0.17,95727,06009
2017,0.188,0.188,2130,0,0.066,0.169,95896,06009
2018,0.161,0.161,2101,0,0.052,0.178,96810,06009
2019,0.118,0.118,2243,0,0.044,0.181,100161,06009
2020,0.11,0.11,2247,0,0.053,0.176,99088,06009
2021,0.102,0.102,3092,0,0.066,0.181,100665,06009
2022,0.077,0.077,3335,0,0.058,0.185,101035,06009
2023,0.04,0.04,NA,NA,NA,NA,NA,06009
2011,0.162,NA,2152,0,NA,NA,84269,06011
2012,0.169,NA,2044,0,0.211,0.121,84206,06011
2013,0.175,NA,2072,0,0.217,0.12,83374,06011
2014,0.173,NA,2004,0,0.205,0.109,84958,06011
2015,0.158,NA,2094,0,0.178,0.115,83960,06011
2016,0.161,NA,2032,0,0.156,0.123,95163,06011
2017,0.157,NA,2026,0,0.136,0.113,94310,06011
2018,0.172,NA,2161,1,0.103,0.112,99881,06011
2019,0.127,NA,2152,0,0.098,0.114,92004,06011
2020,0.113,NA,2157,0,0.085,0.107,91037,06011
2021,0.097,NA,2164,0,0.084,0.108,90921,06011
2022,0.076,NA,2096,0,0.091,0.112,95004,06011
2023,0.023,NA,NA,NA,NA,NA,NA,06011
2011,0.116,0.081,2125,0,NA,NA,141842,06013
2012,0.119,0.089,2181,0,0.118,0.075,139216,06013
2013,0.113,0.084,2275,0,0.119,0.078,138669,06013
2014,0.103,0.073,2240,0,0.112,0.081,138904,06013
2015,0.093,0.065,2382,1,0.098,0.085,140863,06013
2016,0.087,0.06,2403,0,0.085,0.087,144718,06013
2017,0.113,0.081,2464,0,0.072,0.089,150163,06013
2018,0.116,0.082,2399,0,0.057,0.089,155416,06013
2019,0.093,0.063,2305,0,0.051,0.089,161782,06013
2020,0.089,0.062,2398,0,0.05,0.088,166329,06013
2021,0.082,0.058,2402,0,0.047,0.088,169827,06013
2022,0.074,0.049,2483,0,0.047,0.087,171999,06013
2023,0.036,0.024,NA,NA,NA,NA,NA,06013
2011,0.278,0.259,2515,0,NA,NA,70068,06015
2012,0.287,0.271,3031,0,0.139,0.209,73761,06015
2013,0.263,0.249,3116,0,0.15,0.204,69564,06015
2014,0.279,0.266,3104,0,0.13,0.213,68464,06015
2015,0.222,0.215,3093,0,0.115,0.219,70244,06015
2016,0.174,0.169,3070,0,0.108,0.214,71613,06015
2017,0.16,0.157,2998,0,0.081,0.212,69486,06015
2018,0.175,0.171,2807,0,0.063,0.199,74810,06015
2019,0.152,0.151,2721,0,0.065,0.182,75700,06015
2020,0.177,0.173,2765,0,0.055,0.169,79221,06015
2021,0.145,0.147,2739,0,0.052,0.178,78619,06015
2022,0.106,0.108,3197,0,0.061,0.19,82610,06015
2023,0.04,0.042,NA,NA,NA,NA,NA,06015
2011,0.114,0.113,2128,0,NA,NA,119776,06017
2012,0.126,0.125,2016,0,0.105,0.094,118924,06017
2013,0.132,0.132,2043,0,0.102,0.093,118040,06017
2014,0.115,0.115,1973,0,0.098,0.1,117853,06017
2015,0.118,0.118,2065,0,0.089,0.1,120016,06017
2016,0.12,0.12,1999,0,0.076,0.104,123157,06017
2017,0.114,0.113,1992,0,0.06,0.103,124080,06017
2018,0.106,0.106,2096,0,0.052,0.106,127283,06017
2019,0.09,0.09,2089,0,0.046,0.103,131151,06017
2020,0.087,0.087,2093,0,0.043,0.097,133882,06017
2021,0.084,0.084,2102,0,0.041,0.086,138697,06017
2022,0.073,0.073,2031,0,0.042,0.091,145004,06017
2023,0.038,0.038,NA,NA,NA,NA,NA,06017
2011,0.184,0.111,2585,0,NA,NA,86950,06019
2012,0.186,0.113,2579,0,0.199,0.106,84510,06019
2013,0.188,0.112,2660,0,0.196,0.105,82506,06019
2014,0.199,0.123,3193,0,0.185,0.109,81145,06019
2015,0.194,0.125,3193,0,0.164,0.113,81394,06019
2016,0.193,0.122,3137,0,0.142,0.114,82534,06019
2017,0.205,0.12,2956,0,0.117,0.118,85300,06019
2018,0.19,0.108,2869,0,0.095,0.117,86959,06019
2019,0.141,0.086,2861,0,0.083,0.117,89121,06019
2020,0.133,0.089,2890,1,0.078,0.115,93214,06019
2021,0.116,0.071,3063,0,0.073,0.116,94335,06019
2022,0.104,0.065,2967,0,0.072,0.112,95708,06019
2023,0.039,0.024,NA,NA,NA,NA,NA,06019
2011,0.128,0.129,2708,0,NA,NA,80430,06021
2012,0.123,0.126,2715,0,0.209,0.146,80713,06021
2013,0.143,0.139,2752,0,0.206,0.143,82214,06021
2014,0.143,0.137,2741,0,0.195,0.157,78818,06021
2015,0.153,0.148,2770,0,0.18,0.146,76935,06021
2016,0.13,0.123,2818,0,0.145,0.149,72161,06021
2017,0.108,0.107,2813,0,0.118,0.148,73120,06021
2018,0.114,0.116,3724,0,0.096,0.146,73551,06021
2019,0.101,0.107,3657,0,0.086,0.128,74735,06021
2020,0.114,0.12,3690,0,0.092,0.133,76743,06021
2021,0.085,0.087,3657,0,0.1,0.117,79615,06021
2022,0.083,0.086,3637,0,0.109,0.104,81755,06021
2023,0.015,0.016,NA,NA,NA,NA,NA,06021
2011,0.212,0.205,2630,0,NA,NA,77694,06023
2012,0.189,0.18,2863,0,0.195,0.138,75404,06023
2013,0.203,0.197,2827,0,0.194,0.14,73413,06023
2014,0.207,0.203,2788,0,0.188,0.147,72604,06023
2015,0.204,0.2,2900,0,0.167,0.152,72557,06023
2016,0.173,0.171,2922,0,0.144,0.152,73279,06023
2017,0.177,0.177,2903,0,0.123,0.15,75074,06023
2018,0.175,0.174,2700,0,0.097,0.144,77360,06023
2019,0.151,0.15,2782,0,0.082,0.142,81418,06023
2020,0.123,0.122,2719,0,0.078,0.148,83497,06023
2021,0.109,0.108,2896,0,0.077,0.158,84825,06023
2022,0.094,0.093,2834,0,0.061,0.162,85258,06023
2023,0.024,0.024,NA,NA,NA,NA,NA,06023
2011,0.202,NA,1312,0,NA,NA,75687,06025
2012,0.203,NA,1366,0,0.216,0.109,75230,06025
2013,0.202,NA,1273,0,0.213,0.104,75662,06025
2014,0.199,NA,1278,0,0.197,0.103,73328,06025
2015,0.185,NA,1371,0,0.177,0.109,72767,06025
2016,0.156,NA,1325,0,0.148,0.114,73683,06025
2017,0.173,NA,1340,0,0.118,0.115,77251,06025
2018,0.167,NA,1318,0,0.093,0.117,76672,06025
2019,0.151,NA,1329,0,0.08,0.117,76700,06025
2020,0.121,NA,1354,0,0.07,0.111,75141,06025
2021,0.13,NA,1364,0,0.066,0.115,75310,06025
2022,0.122,NA,1359,0,0.068,0.108,75925,06025
2023,0.053,NA,NA,NA,NA,NA,NA,06025
2011,0.216,0.216,1994,0,NA,NA,84041,06027
2012,0.216,0.216,2063,0,0.163,0.091,80786,06027
2013,0.24,0.24,2037,0,0.151,0.096,79966,06027
2014,0.219,0.219,2090,0,0.136,0.102,77870,06027
2015,0.214,0.214,2127,0,0.113,0.092,79609,06027
2016,0.166,0.166,2053,0,0.103,0.094,80789,06027
2017,0.131,0.131,2037,0,0.077,0.093,81467,06027
2018,0.132,0.132,2349,0,0.064,0.089,83058,06027
2019,0.071,0.071,2404,0,0.058,0.086,85068,06027
2020,0.087,0.087,2378,0,0.067,0.103,86604,06027
2021,0.093,0.093,2405,0,0.071,0.11,88627,06027
2022,0.066,0.066,2317,0,0.067,0.107,86856,06027
2023,0.024,0.022,NA,NA,NA,NA,NA,06027
2011,0.222,0.191,1740,0,NA,NA,86549,06029
2012,0.216,0.187,1662,0,0.202,0.121,85157,06029
2013,0.244,0.213,1610,0,0.202,0.117,84596,06029
2014,0.235,0.21,1691,0,0.185,0.11,84192,06029
2015,0.233,0.206,1559,0,0.16,0.106,84741,06029
2016,0.233,0.203,1689,0,0.133,0.103,85472,06029
2017,0.225,0.198,1832,0,0.112,0.103,86066,06029
2018,0.213,0.182,1708,0,0.09,0.103,86688,06029
2019,0.172,0.146,1766,0,0.079,0.101,87574,06029
2020,0.148,0.131,2003,0,0.077,0.104,88488,06029
2021,0.127,0.113,2080,0,0.08,0.103,90178,06029
2022,0.106,0.094,2160,0,0.078,0.104,91534,06029
2023,0.042,0.036,NA,NA,NA,NA,NA,06029
2011,0.198,NA,2585,0,NA,NA,84499,06031
2012,0.192,NA,2579,0,0.197,0.098,84085,06031
2013,0.185,NA,2661,0,0.189,0.095,82572,06031
2014,0.156,NA,3194,1,0.173,0.1,81577,06031
2015,0.159,NA,3194,0,0.151,0.106,81288,06031
2016,0.159,NA,3138,0,0.127,0.104,81457,06031
2017,0.267,NA,2956,1,0.103,0.107,82578,06031
2018,0.268,NA,2870,0,0.082,0.111,84923,06031
2019,0.206,NA,2861,0,0.075,0.11,86780,06031
2020,0.201,NA,2891,0,0.075,0.107,88827,06031
2021,0.16,NA,3064,0,0.076,0.109,87619,06031
2022,0.136,NA,2967,0,0.074,0.113,88540,06031
2023,0.035,NA,NA,NA,NA,NA,NA,06031
2011,0.261,0.26,3484,0,NA,NA,72845,06033
2012,0.261,0.26,3785,0,0.193,0.194,69817,06033
2013,0.261,0.261,3647,0,0.191,0.193,67456,06033
2014,0.25,0.25,3752,0,0.188,0.188,65031,06033
2015,0.252,0.252,3848,0,0.167,0.192,64861,06033
2016,0.223,0.223,3780,0,0.146,0.199,65494,06033
2017,0.205,0.205,4059,0,0.118,0.187,69154,06033
2018,0.216,0.217,4039,0,0.095,0.179,73834,06033
2019,0.164,0.163,4854,0,0.071,0.171,79366,06033
2020,0.169,0.168,3983,0,0.073,0.173,85781,06033
